cnae_code,cnae_text,risk_tier,base_weight,sanitary_risk,fire_risk,environmental_risk,notes,source,is_active
82.99-7-99,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
85.50-3-02,Atividades de apoio à educação  exceto caixas escolares,LOW,10,LOW,LOW,LOW,,bootstrap,true
85.91-1-00,Ensino de esportes,LOW,10,LOW,LOW,LOW,,bootstrap,true
85.92-9-99,Ensino de arte e cultura não especificado anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
85.93-7-00,Ensino de idiomas,LOW,10,LOW,LOW,LOW,,bootstrap,true
85.99-6-04,Treinamento em desenvolvimento profissional e gerencial,LOW,10,LOW,LOW,LOW,,bootstrap,true
85.99-6-05,Cursos preparatórios para concursos,LOW,10,LOW,LOW,LOW,,bootstrap,true
85.99-6-99,Outras atividades de ensino não especificadas anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
86.30-5-03,Atividade médica ambulatorial restrita a consultas,MEDIUM,35,MEDIUM,LOW,LOW,,calibrated_v1,true
86.30-5-04,Atividade odontológica,MEDIUM,35,MEDIUM,LOW,LOW,,calibrated_v1,true
86.30-5-06,Serviços de vacinação e imunização humana,LOW,10,LOW,LOW,LOW,,bootstrap,true
86.30-5-99,Atividades de atenção ambulatorial não especificadas anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
86.40-2-02,Laboratórios clínicos,HIGH,50,HIGH,MEDIUM,MEDIUM,,calibrated_v1,true
86.40-2-05,Serviços de diagnóstico por imagem com uso de radiação ionizante  exceto tomografia,HIGH,55,HIGH,MEDIUM,MEDIUM,,calibrated_v1,true
86.40-2-99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,MEDIUM,40,MEDIUM,LOW,LOW,,calibrated_v1,true
86.50-0-03,Atividades de psicologia e psicanálise,LOW,10,LOW,LOW,LOW,,bootstrap,true
86.50-0-04,Atividades de fisioterapia,LOW,10,LOW,LOW,LOW,,bootstrap,true
86.50-0-06,Atividades de fonoaudiologia,LOW,10,LOW,LOW,LOW,,bootstrap,true
86.60-7-00,Atividades de apoio à gestão de saúde,LOW,10,LOW,LOW,LOW,,bootstrap,true
86.90-9-01,Atividades de práticas integrativas e complementares em saúde humana,LOW,10,LOW,LOW,LOW,,bootstrap,true
90.01-9-02,Produção musical,LOW,10,LOW,LOW,LOW,,bootstrap,true
90.01-9-03,Produção de espetáculos de dança,LOW,10,LOW,LOW,LOW,,bootstrap,true
90.01-9-05,Produção de espetáculos de rodeios  vaquejadas e similares,LOW,10,LOW,LOW,LOW,,bootstrap,true
90.01-9-06,Atividades de sonorização e de iluminação,LOW,10,LOW,LOW,LOW,,bootstrap,true
90.01-9-99,Artes cênicas  espetáculos e atividades complementares não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
90.03-5-00,Gestão de espaços para artes cênicas  espetáculos e outras atividades artísticas,LOW,10,LOW,LOW,LOW,,bootstrap,true
91.01-5-00,Atividades de bibliotecas e arquivos,LOW,10,LOW,LOW,LOW,,bootstrap,true
91.02-3-01,Atividades de museus e de exploração de lugares e prédios históricos e atrações similares,LOW,10,LOW,LOW,LOW,,bootstrap,true
91.03-1-00,Atividades de jardins botânicos  zoológicos  parques nacionais  reservas ecológicas e áreas de proteção ambiental,LOW,10,LOW,LOW,LOW,,bootstrap,true
93.13-1-00,Atividades de condicionamento físico,MEDIUM,25,LOW,MEDIUM,LOW,,calibrated_v1,true
93.29-8-99,Outras atividades de recreação e lazer não especificadas anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
94.12-0-99,Outras atividades associativas profissionais,LOW,10,LOW,LOW,LOW,,bootstrap,true
94.30-8-00,Atividades de associações de defesa de direitos sociais,LOW,10,LOW,LOW,LOW,,bootstrap,true
94.91-0-00,Atividades de organizações religiosas,LOW,10,LOW,LOW,LOW,,bootstrap,true
94.93-6-00,Atividades de organizações associativas ligadas à cultura e à arte,LOW,10,LOW,LOW,LOW,,bootstrap,true
94.99-5-00,Atividades associativas não especificadas anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
95.21-5-00,Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico,LOW,10,LOW,LOW,LOW,,bootstrap,true
95.29-1-05,Reparação de artigos do mobiliário,LOW,10,LOW,LOW,LOW,,bootstrap,true
96.02-5-02,Atividades de estética e outros serviços de cuidados com a beleza,MEDIUM,20,LOW,LOW,LOW,,calibrated_v1,true
