cnae_code,cnae_text,risk_tier,base_weight,sanitary_risk,fire_risk,environmental_risk,notes,source,is_active
42.11-1-01,Construção de rodovias e ferrovias,MEDIUM,30,LOW,MEDIUM,MEDIUM,,calibrated_v1,true
42.11-1-02,Pintura para sinalização em pistas rodoviárias e aeroportos,LOW,10,LOW,LOW,LOW,,bootstrap,true
42.12-0-00,Construção de obras-de-arte especiais,LOW,10,LOW,LOW,LOW,,bootstrap,true
42.13-8-00,Obras de urbanização - ruas  praças e calçadas,LOW,10,LOW,LOW,LOW,,bootstrap,true
42.22-7-01,Construção de redes de abastecimento de água  coleta de esgoto e construções correlatas  exceto obras de irrigação,LOW,10,LOW,LOW,LOW,,bootstrap,true
42.92-8-01,Montagem de estruturas metálicas,LOW,10,LOW,LOW,LOW,,bootstrap,true
42.92-8-02,Obras de montagem industrial,LOW,10,LOW,LOW,LOW,,bootstrap,true
42.99-5-01,Construção de instalações esportivas e recreativas,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.11-8-01,Demolição de edifícios e outras estruturas,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.11-8-02,Preparação de canteiro e limpeza de terreno,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.12-6-00,Perfurações e sondagens,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.13-4-00,Obras de terraplenagem,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.19-3-00,Serviços de preparação do terreno não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.21-5-00,Instalações elétricas,MEDIUM,30,LOW,MEDIUM,LOW,,calibrated_v1,true
43.22-3-01,Instalações hidráulicas  sanitárias e de gás,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.22-3-02,Instalação e manutenção de sistemas centrais de ar condicionado  de ventilação e refrigeração,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.29-1-01,Instalação de painéis publicitários,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.30-4-01,Impermeabilização em obras de engenharia civil,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.30-4-02,Instalação de portas  janelas  tetos  divisórias e armários embutidos de qualquer material,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.30-4-03,Obras de acabamento em gesso e estuque,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.30-4-04,Serviços de pintura de edifícios em geral,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.30-4-05,Aplicação de revestimentos e de resinas em interiores e exteriores,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.30-4-99,Outras obras de acabamento da construção,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.99-1-01,Administração de obras,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.99-1-02,Montagem e desmontagem de andaimes e outras estruturas temporárias,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.99-1-03,Obras de alvenaria,LOW,10,LOW,LOW,LOW,,bootstrap,true
43.99-1-99,Serviços especializados para construção não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
45.11-1-02,Comércio a varejo de automóveis  camionetas e utilitários usados,LOW,10,LOW,LOW,LOW,,bootstrap,true
45.12-9-01,Representantes comerciais e agentes do comércio de veículos automotores,LOW,10,LOW,LOW,LOW,,bootstrap,true
45.20-0-01,Serviços de manutenção e reparação mecânica de veículos automotores,MEDIUM,25,LOW,MEDIUM,LOW,,calibrated_v1,true
45.20-0-05,Serviços de lavagem  lubrificação e polimento de veículos automotores,LOW,10,LOW,LOW,LOW,,bootstrap,true
45.30-7-01,Comércio por atacado de peças e acessórios novos para veículos automotores,LOW,10,LOW,LOW,LOW,,bootstrap,true
45.30-7-03,Comércio a varejo de peças e acessórios novos para veículos automotores,LOW,10,LOW,LOW,LOW,,bootstrap,true
45.30-7-05,Comércio a varejo de pneumáticos e câmaras-de-ar,LOW,10,LOW,LOW,LOW,,bootstrap,true
45.30-7-06,Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.17-6-00,Representantes comerciais e agentes do comércio de produtos alimentícios  bebidas e fumo,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.18-4-99,Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.19-2-00,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.23-1-06,Comércio atacadista de sementes  flores  plantas e gramas,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.23-1-09,Comércio atacadista de alimentos para animais,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.23-1-99,Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.35-4-01,Comércio atacadista de água mineral,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.39-7-01,Comércio atacadista de produtos alimentícios em geral,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.47-8-01,Comércio atacadista de artigos de escritório e de papelaria,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.47-8-02,Comércio atacadista de livros  jornais e outras publicações,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.49-4-08,Comércio atacadista de produtos de higiene  limpeza e conservação domiciliar,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.51-6-01,Comércio atacadista de equipamentos de informática,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.52-4-00,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.61-3-00,Comércio atacadista de máquinas  aparelhos e equipamentos para uso agropecuário; partes e peças,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.69-9-99,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.71-1-00,Comércio atacadista de madeira e produtos derivados,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.72-9-00,Comércio atacadista de ferragens e ferramentas,LOW,10,LOW,LOW,LOW,,bootstrap,true
